,Current Trading Date,Previous  Trading Date,Current Day Adjusted CLose Price,Previous Day Adjusted Close Price,Percentage Price Change,Current Volume,Previous Volume,Distribution_Day,vol_diff
1573,2014-01-27,2014-01-24,6135,6266,-2.09,190400,160300,True,30100
1576,2014-01-30,2014-01-29,6073,6120,-0.76,208100,146700,True,61400
1586,2014-02-13,2014-02-12,6001,6084,-1.36,153700,138500,True,15200
1591,2014-02-20,2014-02-19,6091,6152,-1.0,132100,95200,True,36900
1620,2014-04-03,2014-04-02,6736,6752,-0.24,197500,173300,True,24200
1636,2014-04-30,2014-04-29,6696,6715,-0.28,161100,115500,True,45600
1640,2014-05-07,2014-05-06,6652,6715,-0.93,114100,88300,True,25800
1656,2014-05-29,2014-05-28,7235,7329,-1.28,241100,175600,True,65500
1667,2014-06-13,2014-06-12,7542,7649,-1.41,174500,148200,True,26300
1670,2014-06-18,2014-06-17,7558,7631,-0.96,165100,158000,True,7100
1673,2014-06-23,2014-06-20,7493,7511,-0.24,127400,124100,True,3300
1676,2014-06-26,2014-06-25,7493,7569,-1.0,171700,115000,True,56700
1684,2014-07-08,2014-07-07,7623,7787,-2.11,180600,173900,True,6700
1686,2014-07-10,2014-07-09,7567,7585,-0.23,258400,168300,True,90100
1697,2014-07-25,2014-07-24,7790,7830,-0.51,153900,117600,True,36300
1700,2014-07-31,2014-07-30,7721,7791,-0.9,208900,178100,True,30800
1705,2014-08-07,2014-08-06,7649,7672,-0.3,116800,116400,True,400
1706,2014-08-08,2014-08-07,7568,7649,-1.06,118400,116800,True,1600
1727,2014-09-10,2014-09-09,8094,8152,-0.72,107100,104700,True,2400
1731,2014-09-16,2014-09-15,7932,8042,-1.36,128000,96500,True,31500
1736,2014-09-23,2014-09-22,8017,8146,-1.58,140800,105500,True,35300
1738,2014-09-25,2014-09-24,7911,8002,-1.13,231900,182200,True,49700
1743,2014-10-07,2014-10-01,7852,7945,-1.17,148200,113000,True,35200
1746,2014-10-10,2014-10-09,7859,7960,-1.26,142900,123800,True,19100
1748,2014-10-14,2014-10-13,7864,7884,-0.26,225500,118800,True,106700
1766,2014-11-13,2014-11-12,8357,8383,-0.3,127400,125200,True,2200
1774,2014-11-25,2014-11-24,8463,8530,-0.79,271900,140700,True,131200
1783,2014-12-08,2014-12-05,8438,8538,-1.17,163800,143300,True,20500
1787,2014-12-12,2014-12-11,8224,8292,-0.83,138100,133900,True,4200
1789,2014-12-16,2014-12-15,8067,8219,-1.85,197300,137100,True,60200
1790,2014-12-17,2014-12-16,8029,8067,-0.47,216200,197300,True,18900
1795,2014-12-24,2014-12-23,8174,8267,-1.12,221900,132200,True,89700
1803,2015-01-06,2015-01-05,8127,8378,-3.0,172800,118200,True,54600
1808,2015-01-13,2015-01-12,8299,8323,-0.28,129600,103200,True,26400
1809,2015-01-14,2015-01-13,8277,8299,-0.26,146100,129600,True,16500
1820,2015-01-30,2015-01-29,8808,8952,-1.6,267300,256300,True,11000
1838,2015-02-26,2015-02-25,8683,8767,-0.95,217500,135200,True,82300
1843,2015-03-04,2015-03-03,8922,8996,-0.82,248400,177800,True,70600
1846,2015-03-10,2015-03-09,8712,8756,-0.51,163800,155500,True,8300
1849,2015-03-13,2015-03-12,8647,8776,-1.46,179200,173900,True,5300
1853,2015-03-19,2015-03-18,8634,8685,-0.59,163500,156400,True,7100
1854,2015-03-20,2015-03-19,8570,8634,-0.74,174600,163500,True,11100
1858,2015-03-26,2015-03-25,8342,8530,-2.21,280100,161000,True,119100
1871,2015-04-17,2015-04-16,8606,8706,-1.16,150400,142900,True,7500
1873,2015-04-21,2015-04-20,8377,8448,-0.83,407800,148900,True,258900
1876,2015-04-24,2015-04-23,8305,8398,-1.11,173600,156000,True,17600
1880,2015-04-30,2015-04-29,8181,8239,-0.71,267700,160400,True,107300
1883,2015-05-06,2015-05-05,8097,8324,-2.74,209600,155500,True,54100
1902,2015-06-02,2015-06-01,8236,8433,-2.34,146800,122200,True,24600
1903,2015-06-03,2015-06-02,8135,8236,-1.23,171400,146800,True,24600
1907,2015-06-09,2015-06-08,8022,8044,-0.27,136000,135900,True,100
1909,2015-06-11,2015-06-10,7965,8124,-1.96,166200,136800,True,29400
1921,2015-06-29,2015-06-26,8318,8381,-0.75,132000,110600,True,21400
1928,2015-07-08,2015-07-07,8363,8510,-1.74,188100,122200,True,65900
1937,2015-07-21,2015-07-20,8529,8603,-0.86,164100,90600,True,73500
1941,2015-07-27,2015-07-24,8361,8521,-1.88,136600,127400,True,9200
1942,2015-07-28,2015-07-27,8337,8361,-0.29,174600,136600,True,38000
1947,2015-08-04,2015-08-03,8516,8543,-0.31,187400,156700,True,30700
1950,2015-08-07,2015-08-06,8564,8588,-0.28,143700,134900,True,8800
1952,2015-08-11,2015-08-10,8462,8525,-0.74,154400,123400,True,31000
1953,2015-08-12,2015-08-11,8349,8462,-1.33,190000,154400,True,35600
1956,2015-08-17,2015-08-14,8477,8518,-0.48,174700,155900,True,18800
1959,2015-08-20,2015-08-19,8372,8495,-1.44,184100,130500,True,53600
1960,2015-08-21,2015-08-20,8299,8372,-0.87,201300,184100,True,17200
1961,2015-08-24,2015-08-21,7809,8299,-5.92,312400,201300,True,111100
1966,2015-08-31,2015-08-28,7971,8001,-0.38,198200,195600,True,2600
1968,2015-09-02,2015-09-01,7717,7785,-0.88,215300,184900,True,30400
1970,2015-09-04,2015-09-03,7655,7823,-2.15,193600,155800,True,37800
1977,2015-09-15,2015-09-14,7829,7872,-0.55,136500,122800,True,13700
1981,2015-09-22,2015-09-21,7812,7977,-2.07,168400,121800,True,46600
2003,2015-10-27,2015-10-26,8232,8260,-0.33,156700,133900,True,22800
