,Current Trading Date,Previous  Trading Date,Current Day Adjusted CLose Price,Previous Day Adjusted Close Price,Percentage Price Change,Current Volume,Previous Volume,Distribution_Day,vol_diff
3195,2020-08-31,2020-08-28,11387,11647,-2.23,1371800,807000,True,564800
3199,2020-09-04,2020-09-03,11333,11527,-1.68,681300,607100,True,74200
3201,2020-09-08,2020-09-07,11317,11355,-0.33,572200,560300,True,11900
3202,2020-09-09,2020-09-08,11278,11317,-0.35,728900,572200,True,156700
3205,2020-09-14,2020-09-11,11440,11464,-0.21,642300,554800,True,87500
3211,2020-09-22,2020-09-21,11153,11250,-0.86,672200,602900,True,69300
3227,2020-10-15,2020-10-14,11680,11971,-2.43,608900,569200,True,39700
3234,2020-10-26,2020-10-23,11767,11930,-1.36,519800,502300,True,17500
3236,2020-10-28,2020-10-27,11729,11889,-1.34,704000,616300,True,87700
3252,2020-11-19,2020-11-18,12771,12938,-1.29,768800,731300,True,37500
3256,2020-11-25,2020-11-24,12858,13055,-1.51,679000,571900,True,107100
3266,2020-12-10,2020-12-09,13478,13529,-0.38,553400,502600,True,50800
3273,2020-12-21,2020-12-18,13328,13760,-3.14,687300,519400,True,167900
3284,2021-01-06,2021-01-05,14146,14199,-0.38,632300,492500,True,139800
3291,2021-01-15,2021-01-14,14433,14595,-1.11,789600,620200,True,169400
3295,2021-01-21,2021-01-20,14590,14644,-0.37,704600,623100,True,81500
3296,2021-01-22,2021-01-21,14371,14590,-1.5,776800,704600,True,72200
3298,2021-01-27,2021-01-25,13967,14238,-1.91,660700,618600,True,42100
3300,2021-01-29,2021-01-28,13634,13817,-1.32,753200,637900,True,115300
3314,2021-02-18,2021-02-17,15118,15208,-0.59,770600,504800,True,265800
3320,2021-02-26,2021-02-25,14529,15097,-3.76,1103600,803900,True,299700
3325,2021-03-05,2021-03-04,14938,15080,-0.95,640700,534900,True,105800
3329,2021-03-12,2021-03-10,15030,15174,-0.95,493200,404600,True,88600
3333,2021-03-18,2021-03-17,14557,14721,-1.11,542200,100,True,542100
3338,2021-03-25,2021-03-24,14324,14549,-1.54,606800,456400,True,150400
3343,2021-04-05,2021-04-01,14637,14867,-1.54,509700,445000,True,64700
3348,2021-04-12,2021-04-09,14310,14834,-3.53,650200,504100,True,146100
3360,2021-04-30,2021-04-29,14631,14894,-1.77,613900,517500,True,96400
3362,2021-05-04,2021-05-03,14496,14634,-0.94,503400,448900,True,54500
3367,2021-05-11,2021-05-10,14850,14942,-0.61,647400,522000,True,125400
3387,2021-06-09,2021-06-08,15635,15740,-0.67,457900,378200,True,79700
3392,2021-06-16,2021-06-15,15767,15869,-0.64,340200,323300,True,16900
3393,2021-06-17,2021-06-16,15691,15767,-0.48,357600,340200,True,17400
3401,2021-06-29,2021-06-28,15748,15814,-0.42,360300,255100,True,105200
3416,2021-07-20,2021-07-19,15632,15752,-0.76,274300,242100,True,32200
3420,2021-07-27,2021-07-26,15746,15824,-0.49,311000,267100,True,43900
3421,2021-07-28,2021-07-27,15709,15746,-0.24,318600,311000,True,7600
